X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
-10168730.243,4031608.3444,151,ARPO,Arkansas Post National Memorial,2010/12/13 00:00:00+00,AR,MW,2733432,National Memorial,Lands,Arkansas Post,2022/01/06 10:41:21+00,WASO,2022/01/06 10:41:21+00,WASO,47c9a3e8-b9e5-4e4a-aea2-011af1172b8b
-10817602.6361,3711558.1712,152,WACO,Waco Mammoth National Monument,2016/02/12 00:00:00+00,TX,IM,2775865,National Monument,Lands,Waco Mammoth,2022/01/06 10:45:13+00,WASO,2022/01/06 10:45:13+00,WASO,ed5d5bd2-7b98-4f52-aafd-849d30b1bfa2
-12841436.3929,4356098.3689,153,TUSK,Tule Springs Fossil Beds National Monument,2020/08/31 00:00:00+00,NV,PW,2767392,National Monument,Lands,Tule Springs Fossil Beds,2022/01/06 10:44:32+00,WASO,2022/01/06 10:44:32+00,WASO,064a8c19-a3d9-4f74-b203-1b666921ee76
-12304840.8649,4395358.7724,154,NAVA,Navajo National Monument,2009/07/13 00:00:00+00,AZ,IM,8538,National Monument,Lands,Navajo,2022/01/06 10:44:25+00,WASO,2022/01/06 10:44:25+00,WASO,bcd21c4c-3e78-4925-b379-3dc32fa5281b
-8653115.9224,4777896.5078,155,CHOH,Chesapeake and Ohio Canal National Historical Park,2021/12/15 00:00:00+00,DC,NC,583731,National Historical Park,Lands,Chesapeake and Ohio Canal,2022/01/06 10:43:48+00,WASO,2022/01/06 10:43:48+00,WASO,7c120a29-31de-4438-a371-bdd0ceaa2282
-12435434.1937,4930148.3794,156,TICA,Timpanogos Cave National Monument,2005/04/14 00:00:00+00,UT,IM,1446610,National Monument,Lands,Timpanogos Cave,2022/01/06 10:44:32+00,WASO,2022/01/06 10:44:32+00,WASO,a05129ce-8e48-4fe4-a151-e6b2ae053977
-8981169.7961,3814232.7807,157,REER,Reconstruction Era National Historical Park,2020/05/14 00:00:00+00,SC,SE,2783288,National Historical Park,Lands,Reconstruction Era,2022/01/06 10:44:55+00,WASO,2022/01/06 10:44:55+00,WASO,29ad2e6a-5831-4229-b37e-637866a7eae0
-12022697.4098,4416200.7665,158,AZRU,Aztec Ruins National Monument,2017/06/22 00:00:00+00,NM,IM,885961,National Monument,Lands,Aztec Ruins,2022/01/06 10:41:21+00,WASO,2022/01/06 10:41:21+00,WASO,1a8cc563-2624-4b4c-9b50-da986cd0b8b9
-9621739.8946,4283196.1998,159,STRI,Stones River National Battlefield,2018/03/29 00:00:00+00,TN,SE,1888964,National Battlefield,Lands,Stones River,2022/01/06 10:44:32+00,WASO,2022/01/06 10:44:32+00,WASO,1edda2d3-0d76-4e0e-85ff-706825314386
-9878167.8615,4063172.4824,160,TUPE,Tupelo National Battlefield,2005/10/13 00:00:00+00,MS,SE,1888969,National Battlefield,Lands,Tupelo,2022/01/06 10:44:32+00,WASO,2022/01/06 10:44:32+00,WASO,e8604039-9280-4731-b3bb-aaea329630eb
